# Province ID : 2252
# Province Name : Sea of Belegaer
# Province RGB : (0, 20, 255)
# Province Area : Bay of Falaya
# Province Region : Sea of Belegaer
# Province Super Region : Western Middle Earth Ocean
# Province Continent : Hither Lands
# Province Tradenode : Nykkea
# Province Climate : null
# Province is not Sea/Lake Province
# Province Contents : 

#Haradwaith Superregion Discovery
discovered_by = lotr_human
discovered_by = lotr_human_ered_harmal
discovered_by = lotr_human_haradwaith
discovered_by = lotr_human_far_harad
discovered_by = lotr_human_sirayn
discovered_by = lotr_human_chy
discovered_by = lotr_human_mumakan
discovered_by = lotr_human_mordor
discovered_by = lotr_human_near_harad
discovered_by = lotr_human_rhun
discovered_by = lotr_dwarven
discovered_by = lotr_dwarven_ered_harmal
discovered_by = lotr_dwarven_mumakan
discovered_by = lotr_elven_rhun
discovered_by = lotr_elven_mumakan
discovered_by = lotr_elven_haradwaith
discovered_by = lotr_hobbit_mumakan
discovered_by = lotr_orc
discovered_by = lotr_orc_ered_harmal
discovered_by = lotr_orc_haradwaith
discovered_by = lotr_orc_far_harad
discovered_by = lotr_orc_sirayn
discovered_by = lotr_orc_chy
discovered_by = lotr_orc_mumakan
discovered_by = lotr_orc_gondor
discovered_by = lotr_orc_near_harad
discovered_by = lotr_orc_rhun

