# Province ID : 2489
# Province Name : Mouth of Greyflood
# Province RGB : (50, 140, 240)
# Province Area : Gwathlo River
# Province Region : Gwathlo River
# Province Super Region : Western Middle Earth Ocean
# Province Continent : Middle Earth
# Province Tradenode : Lond Daer
# Province Climate : null
# Province is not Sea/Lake Province
# Province Contents : 

#Eriador Seas Discovery
discovered_by = lotr_human
discovered_by = lotr_human_rohan
discovered_by = lotr_human_mordor
discovered_by = lotr_human_rhovanion
discovered_by = lotr_human_misty_mountains
discovered_by = lotr_human_eriador
discovered_by = lotr_human_forodwaith
discovered_by = lotr_human_near_harad
discovered_by = lotr_human_rhun
discovered_by = lotr_dwarven
discovered_by = lotr_dwarven_eriador
discovered_by = lotr_dwarven_rhovanion
discovered_by = lotr_dwarven_misty_mountains
discovered_by = lotr_dwarven_eriador
discovered_by = lotr_elven
discovered_by = lotr_elven_rhun
discovered_by = lotr_elven_rhovanion
discovered_by = lotr_elven_forodwaith
discovered_by = lotr_ent
discovered_by = lotr_ent_eriador
discovered_by = lotr_erus_children
discovered_by = lotr_erus_children_eriador
discovered_by = lotr_goblin
discovered_by = lotr_goblin_eriador
discovered_by = lotr_goblin_forodwaith
discovered_by = lotr_goblin_rhovanion
discovered_by = lotr_giant
discovered_by = lotr_great_spider
discovered_by = lotr_great_spider_eriador
discovered_by = lotr_hobbit
discovered_by = lotr_hobbit_rhovanion
discovered_by = lotr_orc
discovered_by = lotr_orc_rohan
discovered_by = lotr_orc_gondor
discovered_by = lotr_orc_misty_mountains
discovered_by = lotr_orc_eriador
discovered_by = lotr_orc_forodwaith
discovered_by = lotr_orc_rhovanion
discovered_by = lotr_orc_near_harad
discovered_by = lotr_orc_rhun
discovered_by = lotr_troll
discovered_by = lotr_uruk_hai
discovered_by = lotr_wizard
discovered_by = lotr_wizard_rhovanion
discovered_by = lotr_wights
discovered_by = lotr_wights_forodwaith

