# Province ID : 2536
# Province Name : Gulf of Shalnare
# Province RGB : (5, 0, 80)
# Province Area : Sea of Codya
# Province Region : Ormal Sea
# Province Super Region : null
# Province Continent : Hither Lands
# Province Tradenode : Cilyar
# Province Climate : null
# Province is not Sea/Lake Province
# Province Contents : 

#Harshandatt Superregion Discovery
discovered_by = lotr_human_palisor
discovered_by = lotr_human_lochan_daer
discovered_by = lotr_human_balizar
discovered_by = lotr_human_ered_harmal
discovered_by = lotr_human_haradwaith
discovered_by = lotr_human_far_harad
discovered_by = lotr_human_sirayn
discovered_by = lotr_human_chy
discovered_by = lotr_human_mumakan
discovered_by = lotr_human_near_harad
discovered_by = lotr_dwarven_palisor
discovered_by = lotr_dwarven_lochan_daer
discovered_by = lotr_dwarven_ered_harmal
discovered_by = lotr_dwarven_mumakan
discovered_by = lotr_elven_palisor
discovered_by = lotr_elven_lochan_daer
discovered_by = lotr_elven_balizar
discovered_by = lotr_elven_mumakan
discovered_by = lotr_elven_haradwaith
discovered_by = lotr_hobbit_mumakan
discovered_by = lotr_orc_palisor
discovered_by = lotr_orc_lochan_daer
discovered_by = lotr_orc_balizar
discovered_by = lotr_orc_ered_harmal
discovered_by = lotr_orc_haradwaith
discovered_by = lotr_orc_far_harad
discovered_by = lotr_orc_sirayn
discovered_by = lotr_orc_chy
discovered_by = lotr_orc_mumakan
discovered_by = lotr_orc_near_harad
discovered_by = lotr_wizard_palisor

