is_city = yes

base_tax = 2
base_production = 3
base_manpower = 2

add_core = Y32
owner = Y32
controller = Y32

culture = culture_orkish
religion = religion_orkish

trade_goods = mushrooms

hre = no

discovered_by = lotr_human
discovered_by = lotr_erus_children
discovered_by = lotr_dwarven
discovered_by = lotr_dragon
discovered_by = lotr_elven
discovered_by = lotr_ent
discovered_by = lotr_goblin
discovered_by = lotr_giant
discovered_by = lotr_great_spider
discovered_by = lotr_half_dwarf
discovered_by = lotr_hobbit
discovered_by = lotr_half_orc
discovered_by = lotr_orc
discovered_by = lotr_troll
discovered_by = lotr_uruk_hai
discovered_by = lotr_wizard
discovered_by = lotr_wights

2758.1.1 = {
	add_core = Y91
	owner = Y91
	controller = Y91
	culture = culture_estaravi
	religion = religion_nenedain
}
2770.1.1 = {
	add_core = Y32
	owner = Y32
	controller = Y32
	culture = culture_orkish
	religion = religion_orkish
}
2799.12.1 = {
	add_core = Y91
	owner = Y91
	controller = Y91
	culture = culture_estaravi
	religion = religion_nenedain
}
2845.3.1 = {
	add_core = Y32
	owner = Y32
	controller = Y32
	culture = culture_orkish
	religion = religion_orkish
}
2941.12.1 = {
	add_core = Y91
	owner = Y91
	controller = Y91
	culture = culture_estaravi
	religion = religion_nenedain
}
2953.2.1 = {
	add_core = Y32
	owner = Y32
	controller = Y32
	culture = culture_orkish
	religion = religion_orkish
}
