# Province ID : 868
# Province Name : Mirror of Fire
# Province RGB : (116, 132, 192)
# Province Area : null
# Province Area : null
# Province Super Region : null
# Province Continent : Middle Earth
# Province Tradenode : null
# Province Climate : Impassable
# Province is not Sea/Lake Province
# Province Contents : 

#Harshandatt Superregion Discovery
discovered_by = lotr_human_palisor
discovered_by = lotr_human_lochan_daer
discovered_by = lotr_human_balizar
discovered_by = lotr_human_ered_harmal
discovered_by = lotr_human_haradwaith
discovered_by = lotr_human_far_harad
discovered_by = lotr_human_sirayn
discovered_by = lotr_human_chy
discovered_by = lotr_human_mumakan
discovered_by = lotr_human_near_harad
discovered_by = lotr_dwarven_palisor
discovered_by = lotr_dwarven_lochan_daer
discovered_by = lotr_dwarven_ered_harmal
discovered_by = lotr_dwarven_mumakan
discovered_by = lotr_elven_palisor
discovered_by = lotr_elven_lochan_daer
discovered_by = lotr_elven_balizar
discovered_by = lotr_elven_mumakan
discovered_by = lotr_elven_haradwaith
discovered_by = lotr_hobbit_mumakan
discovered_by = lotr_orc_palisor
discovered_by = lotr_orc_lochan_daer
discovered_by = lotr_orc_balizar
discovered_by = lotr_orc_ered_harmal
discovered_by = lotr_orc_haradwaith
discovered_by = lotr_orc_far_harad
discovered_by = lotr_orc_sirayn
discovered_by = lotr_orc_chy
discovered_by = lotr_orc_mumakan
discovered_by = lotr_orc_near_harad
discovered_by = lotr_wizard_palisor
discovered_by = lotr_wights_ered_harmal
discovered_by = lotr_wights_balizor


