 unique_abandoned_mine: "Abandoned Mine"
 unique_abandoned_mine_desc: ""
 unique_aglarond: "Aglarond"
 unique_aglarond_desc: ""
 unique_amon_lhaw: "Amon Lhaw"
 unique_amon_lhaw_desc: ""
 unique_amon_sul: "Amon Sul"
 unique_amon_sul_desc: ""
 unique_amonhen: "Amonhen"
 unique_amonhen_desc: ""
 unique_amrun: "Amrun"
 unique_amrun_desc: ""
 unique_anglad: "Anglad"
 unique_anglad_desc: ""
 unique_angmar_mountains: "Angmar Mountains"
 unique_angmar_mountains_desc: ""
 unique_angmar_town: "Angmar Town"
 unique_angmar_town_desc: ""
 unique_annon_edhel: "Annon Edhel"
 unique_annon_edhel_desc: ""
 unique_anorien: "Anorien"
 unique_anorien_desc: ""
 unique_anorien2: "Anorien2"
 unique_anorien2_desc: ""
 unique_archet: "Archet"
 unique_archet_desc: ""
 unique_arentaurr: "Arentaurr"
 unique_arentaurr_desc: ""
 unique_argonath: "Argonath"
 unique_argonath_desc: ""
 unique_argond: "Argond"
 unique_argond_desc: ""
 unique_azanulbizar: "Azanulbizar"
 unique_azanulbizar_desc: ""
 unique_baraddur: "Baraddur"
 unique_baraddur_desc: ""
 unique_barnas: "Barnas"
 unique_barnas_desc: ""
 unique_barrow_downs: "Barrow Downs"
 unique_barrow_downs_desc: ""
 unique_baruk_shathur: "Baruk Shathur"
 unique_baruk_shathur_desc: ""
 unique_beacon_of_gondor: "Beacon Of Gondor"
 unique_beacon_of_gondor_desc: ""
 unique_bellakar_coastline: "Bellakar Coastline"
 unique_bellakar_coastline_desc: ""
 unique_beorn_home: "Beorn Home"
 unique_beorn_home_desc: ""
 unique_blackgate: "Blackgate"
 unique_blackgate_desc: ""
 unique_bozisha_dar: "Bozisha Dar"
 unique_bozisha_dar_desc: ""
 unique_bree: "Bree"
 unique_bree_desc: ""
 unique_buckland: "Buckland"
 unique_buckland_desc: ""
 unique_bywater: "Bywater"
 unique_bywater_desc: ""
 unique_calembel: "Calembel"
 unique_calembel_desc: ""
 unique_caras_galadhon: "Caras Galadhon"
 unique_caras_galadhon_desc: ""
 unique_carndum: "Carndum"
 unique_carndum_desc: ""
 unique_carrock: "Carrock"
 unique_carrock_desc: ""
 unique_cave: "Cave"
 unique_cave_desc: ""
 unique_celebannon: "Celebannon"
 unique_celebannon_desc: ""
 unique_cerin_amroth: "Cerin Amroth"
 unique_cerin_amroth_desc: ""
 unique_chaiapun: "Chaiapun"
 unique_chaiapun_desc: ""
 unique_chelkar: "Chelkar"
 unique_chelkar_desc: ""
 unique_chetwood: "Chetwood"
 unique_chetwood_desc: ""
 unique_chey_river: "Chey River"
 unique_chey_river_desc: ""
 unique_chyan_town: "Chyan Town"
 unique_chyan_town_desc: ""
 unique_cirithungol: "Cirithungol"
 unique_cirithungol_desc: ""
 unique_codya_settlement: "Codya Settlement"
 unique_codya_settlement_desc: ""
 unique_crossroads: "Crossroads"
 unique_crossroads_desc: ""
 unique_dains_halls: "Dains Halls"
 unique_dains_halls_desc: ""
 unique_dale: "Dale"
 unique_dale_desc: ""
 unique_dead_marshes: "Dead Marshes"
 unique_dead_marshes_desc: ""
 unique_desert_towns: "Desert Towns"
 unique_desert_towns_desc: ""
 unique_dol_guldur_area: "Dol Guldur Area"
 unique_dol_guldur_area_desc: ""
 unique_dolamroth: "Dolamroth"
 unique_dolamroth_desc: ""
 unique_dolguldur: "Dolguldur"
 unique_dolguldur_desc: ""
 unique_druins_tower: "Druins Tower"
 unique_druins_tower_desc: ""
 unique_dune_sea: "Dune Sea"
 unique_dune_sea_desc: ""
 unique_dunedain_ruin: "Dunedain Ruin"
 unique_dunedain_ruin_desc: ""
 unique_dungirith: "Dungirith"
 unique_dungirith_desc: ""
 unique_dunharrow: "Dunharrow"
 unique_dunharrow_desc: ""
 unique_dunland_town: "Dunland Town"
 unique_dunland_town_desc: ""
 unique_durins_tower: "Durins Tower"
 unique_durins_tower_desc: ""
 unique_durthang: "Durthang"
 unique_durthang_desc: ""
 unique_dwaithohirs_eyrie: "Dwaithohirs Eyrie"
 unique_dwaithohirs_eyrie_desc: ""
 unique_dwarf_hold: "Dwarf Hold"
 unique_dwarf_hold_desc: ""
 unique_eagles_eyrie: "Eagles Eyrie"
 unique_eagles_eyrie_desc: ""
 unique_east_farthing: "East Farthing"
 unique_east_farthing_desc: ""
 unique_east_wall: "East Wall"
 unique_east_wall_desc: ""
 unique_easterling_town: "Easterling Town"
 unique_easterling_town_desc: ""
 unique_eastern_island: "Eastern Island"
 unique_eastern_island_desc: ""
 unique_eastfold: "Eastfold"
 unique_eastfold_desc: ""
 unique_edhellond: "Edhellond"
 unique_edhellond_desc: ""
 unique_edoras: "Edoras"
 unique_edoras_desc: ""
 unique_egladil: "Egladil"
 unique_egladil_desc: ""
 unique_ekhalshar: "Ekhalshar"
 unique_ekhalshar_desc: ""
 unique_elostirion: "Elostirion"
 unique_elostirion_desc: ""
 unique_emyn_muil: "Emyn Muil"
 unique_emyn_muil_desc: ""
 unique_emyn_sul: "Emyn Sul"
 unique_emyn_sul_desc: ""
 unique_en_eredoriath: "En Eredoriath"
 unique_en_eredoriath_desc: ""
 unique_entmoot: "Entmoot"
 unique_entmoot_desc: ""
 unique_eotheod_town: "Eotheod Town"
 unique_eotheod_town_desc: ""
 unique_erebor: "Erebor"
 unique_erebor_desc: ""
 unique_erech: "Erech"
 unique_erech_desc: ""
 unique_ered_harmal: "Ered Harmal"
 unique_ered_harmal_desc: ""
 unique_eregion_ruin: "Eregion Ruin"
 unique_eregion_ruin_desc: ""
 unique_etten_vale: "Etten Vale"
 unique_etten_vale_desc: ""
 unique_fangorn: "Fangorn"
 unique_fangorn_desc: ""
 unique_far_south_town: "Far South Town"
 unique_far_south_town_desc: ""
 unique_fenmark: "Fenmark"
 unique_fenmark_desc: ""
 unique_fords_of_bruinen: "Fords Of Bruinen"
 unique_fords_of_bruinen_desc: ""
 unique_fords_of_isen: "Fords Of Isen"
 unique_fords_of_isen_desc: ""
 unique_foreregion: "Foreregion"
 unique_foreregion_desc: ""
 unique_fornost: "Fornost"
 unique_fornost_desc: ""
 unique_forodwaith: "Forodwaith"
 unique_forodwaith_desc: ""
 unique_forodwaith_town: "Forodwaith Town"
 unique_forodwaith_town_desc: ""
 unique_framsburg: "Framsburg"
 unique_framsburg_desc: ""
 unique_front_porch: "Front Porch"
 unique_front_porch_desc: ""
 unique_gladden_fields: "Gladden Fields"
 unique_gladden_fields_desc: ""
 unique_gobel_ancalimon: "Gobel Ancalimon"
 unique_gobel_ancalimon_desc: ""
 unique_gobel_mirlond: "Gobel Mirlond"
 unique_gobel_mirlond_desc: ""
 unique_gobel_tolfalas: "Gobel Tolfalas"
 unique_gobel_tolfalas_desc: ""
 unique_goblintown: "Goblintown"
 unique_goblintown_desc: ""
 unique_gollums_cave: "Gollums Cave"
 unique_gollums_cave_desc: ""
 unique_gondor: "Gondor"
 unique_gondor_desc: ""
 unique_gondor_coastline: "Gondor Coastline"
 unique_gondor_coastline_desc: ""
 unique_gondor_fields: "Gondor Fields"
 unique_gondor_fields_desc: ""
 unique_gondor_hills: "Gondor Hills"
 unique_gondor_hills_desc: ""
 unique_gondor_town: "Gondor Town"
 unique_gondor_town_desc: ""
 unique_green_hill_country: "Green Hill Country"
 unique_green_hill_country_desc: ""
 unique_grey_foothills: "Grey Foothills"
 unique_grey_foothills_desc: ""
 unique_grey_mountains: "Grey Mountains"
 unique_grey_mountains_desc: ""
 unique_greyhavens: "Greyhavens"
 unique_greyhavens_desc: ""
 unique_gulduin: "Gulduin"
 unique_gulduin_desc: ""
 unique_gundabad: "Gundabad"
 unique_gundabad_desc: ""
 unique_gundabad_plains: "Gundabad Plains"
 unique_gundabad_plains_desc: ""
 unique_halifirien: "Halifirien"
 unique_halifirien_desc: ""
 unique_harad_river: "Harad River"
 unique_harad_river_desc: ""
 unique_harad_town: "Harad Town"
 unique_harad_town_desc: ""
 unique_harlond: "Harlond"
 unique_harlond_desc: ""
 unique_harnen_river: "Harnen River"
 unique_harnen_river_desc: ""
 unique_harondor_coastline: "Harondor Coastline"
 unique_harondor_coastline_desc: ""
 unique_harshandatt: "Harshandatt"
 unique_harshandatt_desc: ""
 unique_harshandatt_town: "Harshandatt Town"
 unique_harshandatt_town_desc: ""
 unique_helms_dike: "Helms Dike"
 unique_helms_dike_desc: ""
 unique_helmsdeep: "Helmsdeep"
 unique_helmsdeep_desc: ""
 unique_henneth_annun: "Henneth Annun"
 unique_henneth_annun_desc: ""
 unique_high_elven_town: "High Elven Town"
 unique_high_elven_town_desc: ""
 unique_high_fells: "High Fells"
 unique_high_fells_desc: ""
 unique_high_pass: "High Pass"
 unique_high_pass_desc: ""
 unique_hillmen_town: "Hillmen Town"
 unique_hillmen_town_desc: ""
 unique_hills_of_scary: "Hills Of Scary"
 unique_hills_of_scary_desc: ""
 unique_hobbitton: "Hobbitton"
 unique_hobbitton_desc: ""
 unique_hollin_ridge: "Hollin Ridge"
 unique_hollin_ridge_desc: ""
 unique_hyvat_kalat: "Hyvat Kalat"
 unique_hyvat_kalat_desc: ""
 unique_ice_cave: "Ice Cave"
 unique_ice_cave_desc: ""
 unique_imloth_melui: "Imloth Melui"
 unique_imloth_melui_desc: ""
 unique_iron_hills: "Iron Hills"
 unique_iron_hills_desc: ""
 unique_isengard: "Isengard"
 unique_isengard_desc: ""
 unique_ithilien: "Ithilien"
 unique_ithilien_desc: ""
 unique_ithilien_mountain: "Ithilien Mountain"
 unique_ithilien_mountain_desc: ""
 unique_ithilien_north: "Ithilien North"
 unique_ithilien_north_desc: ""
 unique_kajbah: "Kajbah"
 unique_kajbah_desc: ""
 unique_kykurian_hills: "Kykurian Hills"
 unique_kykurian_hills_desc: ""
 unique_laketown: "Laketown"
 unique_laketown_desc: ""
 unique_lone_fells: "Lone Fells"
 unique_lone_fells_desc: ""
 unique_lothloria: "Lothloria"
 unique_lothloria_desc: ""
 unique_methedras: "Methedras"
 unique_methedras_desc: ""
 unique_midgewater: "Midgewater"
 unique_midgewater_desc: ""
 unique_minas_tirith: "Minas Tirith"
 unique_minas_tirith_desc: ""
 unique_minasmorgul: "Minasmorgul"
 unique_minasmorgul_desc: ""
 unique_mirkwood: "Mirkwood"
 unique_mirkwood_desc: ""
 unique_mirkwood_mild: "Mirkwood Mild"
 unique_mirkwood_mild_desc: ""
 unique_mirkwood_mountains: "Mirkwood Mountains"
 unique_mirkwood_mountains_desc: ""
 unique_mirkwood_settlement: "Mirkwood Settlement"
 unique_mirkwood_settlement_desc: ""
 unique_mirkwood_west: "Mirkwood West"
 unique_mirkwood_west_desc: ""
 unique_mistrand: "Mistrand"
 unique_mistrand_desc: ""
 unique_mordor: "Mordor"
 unique_mordor_desc: ""
 unique_mordor_fortress: "Mordor Fortress"
 unique_mordor_fortress_desc: ""
 unique_mordor_gorgoroth: "Mordor Gorgoroth"
 unique_mordor_gorgoroth_desc: ""
 unique_mordor_mount_doom_area: "Mordor Mount Doom Area"
 unique_mordor_mount_doom_area_desc: ""
 unique_mordor_pass: "Mordor Pass"
 unique_mordor_pass_desc: ""
 unique_mordor_udun: "Mordor Udun"
 unique_mordor_udun_desc: ""
 unique_moria: "Moria"
 unique_moria_desc: ""
 unique_moria_east_gate: "Moria East Gate"
 unique_moria_east_gate_desc: ""
 unique_moria_west_gate: "Moria West Gate"
 unique_moria_west_gate_desc: ""
 unique_mount_gram: "Mount Gram"
 unique_mount_gram_desc: ""
 unique_mountain_pass: "Mountain Pass"
 unique_mountain_pass_desc: ""
 unique_mountdoom: "Mountdoom"
 unique_mountdoom_desc: ""
 unique_nan_curunir: "Nan Curunir"
 unique_nan_curunir_desc: ""
 unique_nan_lothanduin: "Nan Lothanduin"
 unique_nan_lothanduin_desc: ""
 unique_nan_nimrodel: "Nan Nimrodel"
 unique_nan_nimrodel_desc: ""
 unique_nan_turnath: "Nan Turnath"
 unique_nan_turnath_desc: ""
